iter	Passed	Remaining
0	139	139130
1	141	70475
2	142	47265
3	143	35634
4	144	28661
5	144	24007
6	145	20703
7	146	18211
8	147	16267
9	148	14743
10	149	13471
11	150	12411
12	151	11511
13	152	10743
14	153	10076
15	154	9491
16	155	8975
17	156	8516
18	157	8122
19	158	7752
20	159	7417
21	160	7120
22	161	6846
23	162	6591
24	163	6363
25	164	6162
26	165	5980
27	166	5794
28	167	5618
29	168	5454
30	169	5301
31	170	5157
32	171	5022
33	172	4897
34	173	4776
35	174	4683
36	176	4581
37	177	4481
38	177	4384
39	178	4291
40	179	4203
41	180	4118
42	181	4038
43	182	3960
44	183	3886
45	184	3818
46	184	3750
47	185	3685
48	186	3628
49	188	3573
50	189	3519
51	190	3467
52	191	3420
53	192	3372
54	193	3324
55	194	3279
56	195	3234
57	196	3190
58	197	3147
59	198	3105
60	199	3065
61	200	3029
62	201	2991
63	202	2954
64	202	2918
65	203	2883
66	204	2849
67	205	2811
68	205	2779
69	206	2747
70	207	2717
71	208	2689
72	209	2661
73	210	2633
74	211	2606
75	212	2579
76	213	2554
77	214	2531
78	215	2508
79	215	2483
80	216	2460
81	217	2439
82	218	2417
83	219	2395
84	220	2370
85	221	2349
86	221	2326
87	222	2305
88	223	2286
89	224	2266
90	225	2247
91	225	2229
92	226	2212
93	227	2196
94	228	2180
95	229	2164
96	230	2148
97	231	2132
98	232	2116
99	233	2100
100	234	2085
101	234	2066
102	235	2051
103	236	2039
104	237	2024
105	238	2010
106	239	1996
107	240	1982
108	240	1969
109	241	1956
110	242	1943
111	243	1930
112	244	1919
113	245	1907
114	246	1895
115	246	1881
116	247	1869
117	248	1858
118	249	1845
119	250	1834
120	250	1823
121	251	1812
122	252	1798
123	253	1789
124	254	1778
125	254	1768
126	255	1758
127	256	1746
128	257	1736
129	258	1727
130	258	1717
131	259	1707
132	260	1698
133	261	1688
134	262	1680
135	263	1671
136	263	1662
137	264	1652
138	265	1643
139	266	1635
140	267	1626
141	267	1618
142	268	1609
143	269	1601
144	270	1595
145	271	1589
146	272	1582
147	273	1576
148	274	1570
149	275	1563
150	276	1556
151	277	1548
152	278	1541
153	279	1534
154	280	1528
155	281	1521
156	282	1514
157	282	1507
158	283	1500
159	284	1495
160	285	1489
161	286	1483
162	287	1478
163	289	1473
164	290	1468
165	290	1461
166	291	1455
167	292	1448
168	293	1442
169	294	1436
170	295	1430
171	295	1424
172	296	1417
173	297	1412
174	298	1406
175	299	1401
176	300	1395
177	300	1389
178	301	1383
179	302	1378
180	302	1370
181	303	1364
182	304	1359
183	305	1353
184	306	1348
185	307	1343
186	307	1338
187	308	1333
188	309	1327
189	310	1322
190	311	1317
191	311	1312
192	312	1308
193	313	1303
